account_id,month,payment_status,price_per_hour_compute,price_per_gb_storage,price_per_gb_network,billed_compute_usd,billed_storage_usd,billed_network_usd,billed_amount_usd,cost_compute_usd,cost_storage_usd,cost_network_usd,cost_usd,discount_percent,discount_usd,billed_after_discount_usd,cost_after_discount_usd,prev_month_cost,cost_change,pct_change,anomaly_type,account_name,plan_type,industry,region
A0814,2024-09,Paid,0.026,0.022,0.087,2.52,2.63,4.18,29.17,1.77,1.84,2.92,20.4,5,1.46,27.71,20.4,3.93,16.47,419.08,SPIKE,Company_814,Pro,SaaS,EMEA
A0259,2024-12,Paid,0.026,0.022,0.087,0.22,0.19,0.34,2.17,0.16,0.14,0.25,1.61,10,0.22,1.95,1.61,0.33,1.28,387.88,SPIKE,Company_259,Free,E-commerce,APAC
A0087,2024-03,Paid,0.026,0.022,0.087,1.23,0.62,2.01,14.14,0.95,0.48,1.55,10.91,0,0.0,14.14,10.91,2.29,8.620000000000001,376.42,SPIKE,Company_87,Standard,Gaming,US-East
A1065,2025-04,Overdue,0.026,0.022,0.087,3.45,1.65,4.73,22.75,2.61,1.24,3.57,17.2,0,0.0,22.75,17.2,3.64,13.559999999999999,372.53,SPIKE,Company_1065,Pro,E-commerce,LATAM
A0026,2024-03,Paid,0.025,0.023,0.09,6.28,3.48,10.97,51.04,4.96,2.75,8.65,40.25,0,0.0,51.04,40.25,8.75,31.5,360.0,SPIKE,Company_26,Pro,E-commerce,US-West
A0804,2024-07,Paid,0.024,0.02,0.085,1.33,0.78,2.01,11.32,0.94,0.56,1.42,8.01,10,1.13,10.19,8.01,1.75,6.26,357.71,SPIKE,Company_804,Standard,SaaS,APAC
A0398,2024-04,Paid,0.025,0.023,0.09,5.05,3.51,3.17,31.43,4.01,2.79,2.51,24.94,10,3.14,28.29,24.94,5.83,19.11,327.79,SPIKE,Company_398,Enterprise,Gaming,US-West
A0617,2024-02,Pending,0.025,0.023,0.09,0.07,0.06,0.1,0.58,0.06,0.05,0.08,0.46,0,0.0,0.58,0.46,0.11,0.35000000000000003,318.18,SPIKE,Company_617,Free,Gaming,US-East
A0965,2024-05,Paid,0.024,0.02,0.085,3.1,1.58,6.23,29.56,2.1,1.07,4.22,20.01,10,2.96,26.6,20.01,4.85,15.160000000000002,312.58,SPIKE,Company_965,Pro,Telecom,APAC
A0952,2024-06,Paid,0.026,0.022,0.087,2.44,1.73,2.87,18.63,1.67,1.19,1.97,12.77,0,0.0,18.63,12.77,3.18,9.59,301.57,SPIKE,Company_952,Pro,Fintech,LATAM
