account_id,month,payment_status,price_per_hour_compute,price_per_gb_storage,price_per_gb_network,billed_compute_usd,billed_storage_usd,billed_network_usd,billed_amount_usd,cost_compute_usd,cost_storage_usd,cost_network_usd,cost_usd,discount_percent,discount_usd,billed_after_discount_usd,cost_after_discount_usd
A0001,2024-01,Paid,0.025,0.023,0.09,2.55,2.95,6.5,29.79,1.76,2.02,4.47,20.48,0,0.0,29.79,20.48
A0001,2024-02,Pending,0.025,0.023,0.09,1.7,1.85,3.14,20.61,1.31,1.42,2.42,15.86,20,4.12,16.49,15.86
A0001,2024-03,Paid,0.025,0.023,0.09,2.89,2.12,4.16,25.77,2.11,1.55,3.05,18.88,10,2.58,23.19,18.88
A0001,2024-04,Paid,0.025,0.023,0.09,3.17,4.36,9.93,44.94,1.8,2.48,5.64,25.51,5,2.25,42.69,25.51
A0001,2024-05,Pending,0.025,0.023,0.09,2.37,2.24,2.02,23.24,1.4,1.32,1.19,13.71,0,0.0,23.24,13.71
A0001,2024-06,Paid,0.025,0.023,0.09,3.79,1.88,3.45,26.29,2.89,1.43,2.63,20.03,0,0.0,26.29,20.03
A0001,2024-07,Pending,0.025,0.023,0.09,2.59,3.78,2.12,30.01,1.3,1.9,1.06,15.05,0,0.0,30.01,15.05
A0001,2024-08,Paid,0.025,0.023,0.09,3.6,2.4,5.51,33.94,2.69,1.79,4.11,25.33,15,5.09,28.85,25.33
A0001,2024-09,Paid,0.025,0.023,0.09,5.45,2.52,4.84,35.17,4.03,1.86,3.57,26.0,5,1.76,33.41,26.0
A0001,2024-10,Paid,0.025,0.023,0.09,4.61,3.01,9.15,44.4,2.95,1.93,5.86,28.44,10,4.44,39.96,28.44
A0001,2024-11,Paid,0.025,0.023,0.09,3.27,2.32,8.93,39.95,1.93,1.37,5.28,23.6,0,0.0,39.95,23.6
A0001,2024-12,Paid,0.025,0.023,0.09,7.29,3.4,10.12,52.72,4.25,1.99,5.91,30.76,20,10.54,42.18,30.76
A0001,2025-01,Paid,0.025,0.023,0.09,2.85,2.81,7.73,35.11,1.64,1.62,4.46,20.24,10,3.51,31.6,20.24
A0001,2025-02,Paid,0.025,0.023,0.09,5.2,1.79,1.7,28.46,3.3,1.14,1.08,18.03,0,0.0,28.46,18.03
A0001,2025-03,Paid,0.025,0.023,0.09,2.81,2.07,4.35,28.5,1.83,1.35,2.83,18.57,0,0.0,28.5,18.57
A0001,2025-04,Paid,0.025,0.023,0.09,4.32,2.81,5.43,35.45,2.88,1.87,3.62,23.61,0,0.0,35.45,23.61
A0001,2025-05,Pending,0.025,0.023,0.09,6.33,3.5,5.62,38.68,5.06,2.79,4.49,30.89,0,0.0,38.68,30.89
A0001,2025-06,Paid,0.025,0.023,0.09,3.8,4.2,6.65,43.26,2.81,3.1,4.9,31.92,5,2.16,41.1,31.92
A0001,2025-07,Overdue,0.025,0.023,0.09,7.8,3.63,2.68,40.72,5.36,2.49,1.84,27.96,5,2.04,38.68,27.96
A0001,2025-08,Pending,0.025,0.023,0.09,5.43,2.49,6.91,34.95,4.32,1.99,5.51,27.85,0,0.0,34.95,27.85
A0001,2025-09,Pending,0.025,0.023,0.09,4.3,2.62,4.14,25.84,2.43,1.48,2.34,14.59,5,1.29,24.55,14.59
A0002,2024-01,Pending,0.026,0.022,0.087,2.97,2.01,2.7,25.45,1.63,1.1,1.48,13.95,0,0.0,25.45,13.95
A0002,2024-02,Overdue,0.026,0.022,0.087,3.3,2.46,3.84,27.91,2.26,1.68,2.62,19.08,0,0.0,27.91,19.08
A0002,2024-03,Paid,0.026,0.022,0.087,5.3,2.67,2.96,27.74,2.72,1.37,1.52,14.24,0,0.0,27.74,14.24
A0002,2024-04,Paid,0.026,0.022,0.087,3.1,2.26,6.97,34.08,1.58,1.15,3.56,17.41,5,1.7,32.38,17.41
A0002,2024-05,Paid,0.026,0.022,0.087,5.44,2.92,6.25,37.41,3.56,1.91,4.09,24.48,10,3.74,33.67,24.48
A0002,2024-06,Paid,0.026,0.022,0.087,3.37,2.77,1.48,26.04,2.16,1.77,0.95,16.66,0,0.0,26.04,16.66
A0002,2024-07,Paid,0.026,0.022,0.087,3.51,1.0,4.69,24.09,2.72,0.77,3.63,18.67,5,1.2,22.89,18.67
A0002,2024-08,Paid,0.026,0.022,0.087,4.6,2.07,4.68,26.97,3.17,1.43,3.23,18.58,5,1.35,25.62,18.58
A0002,2024-09,Paid,0.026,0.022,0.087,7.5,2.46,6.3,41.61,4.91,1.61,4.12,27.22,0,0.0,41.61,27.22
A0002,2024-10,Paid,0.026,0.022,0.087,4.62,3.03,8.23,41.35,3.0,1.97,5.34,26.84,5,2.07,39.28,26.84
A0002,2024-11,Paid,0.026,0.022,0.087,6.02,4.09,2.42,35.48,3.46,2.35,1.39,20.37,0,0.0,35.48,20.37
A0002,2024-12,Paid,0.026,0.022,0.087,4.79,2.76,3.22,26.78,2.41,1.39,1.62,13.49,0,0.0,26.78,13.49
A0002,2025-01,Paid,0.026,0.022,0.087,2.73,1.59,5.11,25.96,1.52,0.89,2.85,14.48,15,3.89,22.07,14.48
